country,country_code,govt_health_exp,comp_educ,mmr,gdp,gdp_per_capita,private_health_exp,oop_health_exp,fertility_rate,sab,num_physicians,total_health_exp,rule_of_law,female_pop
Sierra Leone,SLE,3.9944413,9,460,4085114387.55605,519.649963861622,26.64660569,26.27299942,4.294,NA,0.072,43.07834244,-0.796907842159271,2209883
Singapore,SGP,1320.95333806,6,7,376869492498.009,66836.521995236,1320.55300039,767.90452939,1.14,99.6,2.368,2641.50634766,1.80267703533173,2017909
Sint Maarten (Dutch part),SXM,NA,14,NA,1259200442.69574,30791.0610758219,NA,NA,1.61,NA,NA,NA,NA,15434
Slovak Republic,SVK,1029.72409649,10,5,106137924015.593,19486.3936845505,270.19754368,245.78489998,1.54,98,3.521,1299.91137695,0.47263640165329,1851157
Slovenia,SVN,1570.96801597,9,4,54177882425.8431,26123.7471277911,598.61108187,259.94980623,1.6,NA,3.13,2169.57910156,1.02418792247772,655127
Solomon Islands,SLB,72.6056056,NA,127,1615478393.28614,2450.4828877801,3.4217751,3.4217751,4.157,NA,NA,92.47520447,-0.201933979988098,184148
Somalia,SOM,NA,NA,651,8278212314.40591,537.15929021041,NA,NA,6.632,NA,NA,NA,-2.29871559143066,3855739
South Africa,ZAF,325.83864567,9,125,405260723892.868,7067.72416484458,236.95298858,33.17927971,2.418,NA,0.759,569.27368164,-0.221448287367821,19235276
South Sudan,SSD,3.0775124,8,1275,NA,NA,7.48623738,6.12239583,4.696,NA,0.04,28.19466209,-1.98611116409302,2689498
Spain,ESP,1925.13268338,10,4,1421702715218.04,30379.7211126422,816.26562673,609.80488005,1.26,99.9,4.021,2741.39794922,0.978212118148804,15366620
Sri Lanka,LKA,72.86195103,11,30,94493871200.7869,4360.58473469252,84.21879709,74.66115536,2.031,NA,0.988,159.4646759,-0.000408620457164943,7337880
St. Kitts and Nevis,KNA,506.99043292,12,NA,1076240740.74074,22533.8820531551,596.18325652,544.76450792,1.587,100,3.034,1103.17370605,0.519412875175476,17433
St. Lucia,LCA,229.60654099,10,61,2057066666.66667,11563.8304251364,280.99647167,252.06272111,1.436,100,NA,513.00476074,0.631884336471558,64151
St. Martin (French part),MAF,NA,NA,NA,NA,NA,NA,NA,2.517,NA,NA,NA,NA,12151
St. Vincent and the Grenadines,VCT,235.21366557,12,60,884329629.62963,8399.70773102107,111.06716111,100.61574126,1.873,NA,NA,347.65234375,0.444380104541779,34230
Sudan,SDN,8.27482224,8,293,32333780383.2924,769.869140625,24.9910808,23.79707109,4.681,NA,NA,35.54273605,-1.13887703418732,11763951
Suriname,SUR,307.14981107,6,98,3996198866.57453,6730.83696146221,137.09294898,82.9490503,2.418,98.4,0.795,450.16079712,-0.0880336835980415,193771
Sweden,SWE,5091.37246796,9,5,555455371487.089,54589.0603860606,913.69384498,838.23663352,1.76,NA,4.327,6005.06591797,1.78393721580505,3103868
Switzerland,CHE,3081.66931259,11,7,725568717468.001,85217.3691512274,6788.90468637,2761.9792887,1.52,NA,4.339,9870.57421875,1.88787722587585,2803873
Syrian Arab Republic,SYR,NA,9,31,21496337948.9175,1111.87209187084,NA,NA,2.886,NA,NA,NA,-2.05405068397522,5547151
Tajikistan,TJK,16.13650176,9,17,7765000282.26569,850.666958175637,40.93920164,40.82219187,3.294,NA,NA,59.66415405,-1.30321049690247,2766966
Tanzania,TZA,15.33809599,7,267,57003712892.0858,1011.60015869141,8.82244089,8.50777717,4.923,NA,0.05,40.83135605,-0.572451293468475,15673934
Thailand,THA,195.35613595,9,29,506754208404.485,7124.55881041403,79.90600204,27.87337244,1.378,NA,0.786,275.67111206,-0.00407756073400378,25709837
Timor-Leste,TLS,48.74410377,9,249,1566157200,1241.16448533695,8.01840003,8.01840003,3.452,NA,0.726,78.94738007,-1.13863778114319,354663
Togo,TGO,9.01252125,10,435,7029215766.46367,873.554887235302,38.93720718,34.80105051,4.442,NA,0.076,53.06715393,-0.619138240814209,2245896
Tonga,TON,146.11259024,15,84,488906838.594866,4649.61330094975,21.53759766,12.37640672,3.349,NA,NA,219.28793335,0.426162242889404,31210
Trinidad and Tobago,TTO,511.43736354,7,28,24569079488.3913,16328.1268925695,544.33879993,473.99180343,1.651,NA,3.849,1055.90356445,-0.169320344924927,531158
Tunisia,TUN,111.61669023,9,39,42686580020.8322,3577.17534204669,99.72279945,89.02158384,2.174,99.5,NA,212.37957764,0.0534470789134502,4063214
Turkiye,TUR,299.97739134,12,17,778972199727.859,9568.83618958168,87.67909178,67.80661783,2.054,99.2,1.849,387.65649414,-0.390645027160645,27434750
Turkmenistan,TKM,80.44239692,12,5,40765428571.4286,6721.34954037245,374.62160351,351.20775329,2.786,NA,NA,457.06945801,-1.46416521072388,1985949
Turks and Caicos Islands,TCA,NA,13,NA,1113178000,26831.9714609396,NA,NA,1.723,NA,NA,NA,NA,14701
Tuvalu,TUV,663.04403056,8,NA,48015259.8751356,4419.25999771152,17.9378299,2.94045075,3.209,NA,NA,801.16760254,0.614950120449066,3281
Uganda,UGA,5.53423091,7,283,32927025619.6795,793.128082237434,13.10180996,11.75455432,4.932,NA,0.414,32.99159622,-0.321435153484344,10933585
Ukraine,UKR,102.80975374,11,11,130891088293.55,3096.5625,116.41472535,112.19463676,1.301,NA,NA,221.47029114,-0.759869158267975,15675031
United Arab Emirates,ARE,987.69230622,12,9,427049432149.345,46722.2687183733,927.23952807,243.12189785,1.356,99.2,2.664,1914.9317627,0.77433305978775,2016202
United Kingdom,GBR,3386.14844814,11,9,2871340347581.79,43203.8141057739,840.96133649,691.32615177,1.68,NA,2.834,4227.65039063,1.60294651985168,21234546
Uruguay,URY,1172.97641509,14,18,65203071817.9812,19026.0498173005,524.03817003,275.70765463,1.658,100,NA,1697.01452637,0.570794284343719,1110142
Uzbekistan,UZB,31.42724029,12,31,52870108217.2949,1604.25864156544,50.24229376,49.68401348,2.604,100,NA,82.33687592,-1.09812998771667,10931634
Vanuatu,VUT,65.85785794,NA,97,914736985.430944,3076.8353148388,11.96354435,8.74693101,3.855,NA,NA,102.07511902,0.391720503568649,85337
"Venezuela, RB",VEN,85.21633569,17,179,NA,NA,80.05641198,61.01648555,2.272,98.7,NA,165.34623718,-2.26574206352234,9672311
Viet Nam,VNM,68.36870548,10,130,310106478394.659,3267.22506911927,94.19821636,73.21827908,1.937,NA,NA,164.23667908,-0.0353447571396828,33184310
Virgin Islands (U.S.),VIR,NA,NA,NA,3923000000,36663.2087550584,NA,NA,2.06,NA,NA,NA,1.05680096149445,34827
West Bank and Gaza,PSE,NA,10,21,16276600000,3562.33094270256,NA,NA,3.712,NA,2.168,NA,-0.5036341547966,1309681
"Yemen, Rep.",YEM,NA,9,176,21606160777.1719,701.714868380787,NA,NA,4.043,NA,NA,NA,-1.80685091018677,8597193
Zambia,ZMB,29.31104456,7,145,26311507273.6735,1475.19988338535,12.34305647,7.67714146,4.536,80.4,0.225,74.59753418,-0.358200490474701,4883845
Zimbabwe,ZWE,39.13096864,7,359,34156069918.0609,2269.17701232332,41.37058649,10.08352011,3.659,NA,0.201,114.63359833,-1.2924633026123,4511959
