Country Name,comp_qual_log,ship_freq,track_trace_log,infra_qual,log_perf_ind,customs_eff,comp_priced_ship,rule_of_law,political_stability,corr_control,voice_account,govt_eff,reg_qual,legal_rights_ind,food_imp,credit_bureau_covg,fem_sec_educ,fem_prim_educ,prim_compl_fem,enroll_sec_fem_gross,fem_prim_teachers,pupil_teach_ratio_prim,emp_to_pop_ratio_15_plus,external_bal_goods,consump_exp,account_balance,export_good_services,external_health_exp,out_of_pocket_health_exp,dom_govt_health_exp,crop_prod_ind,food_prod_ind,repeaters_female_prim,export_val_ind,goods_exports,goods_imports,mmr,gdp,women_hiv,skilled_health_staff
"Korea, Dem. People's Rep.",NA,NA,NA,NA,NA,NA,NA,-1.64309453964233,-0.34075191617012,-1.5878449678421,-2.21095252037048,-1.60607719421387,-2.38481521606445,NA,NA,NA,NA,48.89785,NA,NA,82.2306594848633,20.30024,NA,NA,NA,NA,NA,NA,NA,NA,91.1,92.57,NA,6.0452793829,NA,NA,107,NA,45.8,NA
"Korea, Rep.",3.59,3.92,3.75,3.73,3.61,3.4,3.33,1.199627161026,0.638081014156342,0.57312136888504,0.798121333122253,1.13534736633301,1.09374976158142,5,5.8238049423598,100,NA,NA,96.4279479980469,98.8866806030273,77.6786804199219,NA,51.31,4.43771617274243,64.0750996500566,4.49121354966825,41.7132908430894,NA,32.50151062,14.1582756,97.18,100.02,NA,114.8271834664,626266500000,516179700000,6,1724845615629.26,9.4,NA
Kosovo,NA,NA,NA,NA,NA,NA,NA,-0.383673995733261,-0.675402104854584,-0.527982175350189,-0.137490570545197,-0.44447934627533,-0.343168258666992,11,NA,0,NA,NA,NA,NA,NA,NA,11.45,-28.208155231768,91.913628091705,-7.6217333874861,29.0534647196644,NA,NA,NA,NA,NA,NA,NA,443642065.810286,3668524736.74618,NA,7878762812.20156,NA,NA
Kuwait,2.8,3.37,2.66,3.02,2.86,2.73,2.63,0.185752928256989,0.0905337333679199,-0.316699147224426,-0.604680120944977,-0.121309354901314,0.0114181833341718,1,15.0275119616334,30.7,48.59136,48.97198,NA,NA,89.4810333251953,8.88073,NA,11.8755314219018,62.8168082924679,17.4013844214159,57.4954949230184,0,10.6470356,8.98124695,100.31,114.25,0.45439,132.9181099587,77080075563.423,31369500436.0877,7,138202309918.726,29,99.9
Kyrgyz Republic,2.36,2.94,2.64,2.38,2.55,2.75,2.22,-0.928147077560425,-0.529558122158051,-0.960398018360138,-0.354460328817368,-0.646391749382019,-0.397319167852402,9,11.1110730511763,37.9,49.73959,48.7983,98.1222152709961,91.2969665527344,98.520378112793,24.98946,50.03,-35.6720998915322,99.655470738986,-11.6275560993583,31.6017300051143,4.9450717,46.61981201,7.33437634,109.07,107.41,0.01357,127.431663631,1904511151.21524,4898299051.06508,54,8271106196.04253,37.5,99.8
Lao PDR,2.65,2.84,2.91,2.44,2.7,2.61,2.72,-0.863172948360443,0.407829284667969,-0.997076809406281,-1.75023281574249,-0.723398149013519,-0.824817895889282,6,12.3817697224743,0,47.59531,48.11446,97.3039016723633,64.0588912963867,52.3480796813965,22.33717,NA,NA,NA,-9.08923087766849,NA,12.45091534,48.54592896,4.15752554,99.12,96.56,3.37168,148.0254180579,5407819544.09933,6314641257.63304,165,18141651381.3884,41.9,NA
Latvia,2.69,2.88,2.79,2.98,2.81,2.8,2.74,0.923249125480652,0.395304828882217,0.297805100679398,0.792103886604309,1.00042855739594,1.13444352149963,9,15.4825825601998,44.6,NA,NA,99.1960220336914,108.584571838379,92.2990036010742,NA,52.23,-0.664478117180628,77.5572729446795,-0.13197994464516,61.4589417496788,0.16463046,39.34199905,9.38321686,70.99,83.55,NA,131.573994356,14851141942.5641,17793266063.0952,23,34429023435.0205,32.9,NA
Lebanon,2.47,3.18,2.8,2.64,2.72,2.38,2.8,-0.782223165035248,-1.62153577804565,-1.13269829750061,-0.513791620731354,-0.673814237117767,-0.454621404409409,2,17.1805266710537,0,53.07088,48.20531,NA,NA,NA,NA,NA,-26.7482649873096,104.261161585012,-24.3470417876461,20.7545211582482,1.02910602,35.27531052,11.55323315,103.84,105.44,4.88798,96.1905764158,3541666918.39719,18453727531.1895,18,54901519155.6219,12.5,NA
Lesotho,2.03,2.7,2.37,1.96,2.28,2.36,2.21,-0.366134911775589,-0.188686534762383,-0.136426091194153,0.00887552369385958,-0.922438740730286,-0.55536687374115,5,19.0604977582705,11.3,NA,NA,NA,NA,NA,NA,NA,-45.011187366138,118.524415968153,-2.17549067890759,48.809449806788,37.51856613,14.2795763,9.61050892,131.1,107.04,NA,131.5018955516,1221141694.67163,1931540160.45952,599,2556247155.56945,61,86.6
Liberia,2.14,3.25,2.05,1.91,2.23,1.91,2.08,-1.00145649909973,-0.203764617443085,-0.871749877929688,-0.0270221866667271,-1.32299840450287,-0.989606022834778,10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.6944373252366,NA,31.07406807,43.41012573,5.19547224,100.15,95.91,NA,193.5933639775,516956967.62,1041143568.83246,684,3422754800,62.2,NA
