Country Name,MMR,GDP,fertility_rate,SAB,private_health_exp,govt_health_exp,tertiary_school_enroll,female_pop,num_physicians
Dominican Republic,109,85555390385.9812,2.381,99.7,122.87957763,200.6990248,NA,3486572,1.41
Ecuador,71,107562008000,2.133,95.9225117354922,184.99333931,311.63624662,51.6826705932617,5549394,NA
"Egypt, Arab Rep.",19,262588632526.73,3.098,NA,85.21002479,34.22272246,37.7170791625977,31578527,0.769
El Salvador,45,26020850000,1.849,99.9,156.05905708,188.48927998,30.8037109375,2179424,2.8699
Equatorial Guinea,219,13097012124.2261,4.513,NA,209.75778582,54.43796369,NA,392622,NA
Eritrea,338,NA,4.056,NA,11.7502838,3.75059731,NA,961275,0.0811
Estonia,5,30624720196.2285,1.67,99.6,409.89922151,1143.16687864,86.4550094604492,422704,3.481
Eswatini,218,4666598023.91856,2.962,NA,64.46055929,140.54393258,NA,350203,0.2447
Ethiopia,312,84269196152.0333,4.343,NA,9.69405805,5.53186576,7.7417631149292,31021596,0.0769
Faroe Islands,NA,3188601035.1907,2.501,NA,NA,NA,NA,14839,NA
Fiji,37,5581425890.96651,2.53,NA,62.28884125,148.99217242,NA,296116,NA
Finland,8,275708001767.838,1.41,99.6,969.37319864,3551.94916025,100.645790100098,1691241,4.6404
France,8,2790956878746.61,1.87,98.1,1130.7012509,3538.18118631,75.1806030273438,21043474,3.24
French Polynesia,NA,6135116260.64814,1.789,NA,NA,NA,NA,100950,NA
Gabon,229,16867326389.8696,3.679,NA,84.86812488,123.77542125,NA,628691,0.6455
"Gambia, The",512,1670671340.37966,4.972,82.7,6.74896778,7.30747043,NA,657808,0.1307
Georgia,26,17596922469.9152,2.114,99.8,199.13035399,130.95942962,68.791862487793,1264210,7.1201
Germany,5,3974443355019.53,1.57,96.2,1252.14090103,4251.8416085,71.1426391601562,26508363,4.2996
Ghana,273,67298913752.0241,3.731,78.9,36.73022996,29.23066732,13.6581602096558,9111546,0.148
Gibraltar,NA,NA,1.879,NA,NA,NA,NA,10201,NA
Greece,6,212049447242.107,1.35,99.9,764.69926204,836.2424723,140.89501953125,3465200,6.2262
Greenland,NA,3055791340.7025,2,NA,NA,NA,NA,18633,NA
Grenada,21,1166514814.81481,2.063,NA,259.15323082,178.60747088,108.711471557617,39954,1.4363
Guam,NA,6056000000,2.671,NA,NA,NA,NA,51980,NA
Guatemala,98,73328369925.8478,2.743,NA,165.58418561,95.69246233,17.859546661377,5051077,0.3549
Guinea,568,11857030366.4598,4.669,55.3,25.66494527,5.83084378,4.26982498168945,3485629,0.2245
Guinea-Bissau,648,1504630233.68639,4.263,NA,39.94356122,4.32780664,NA,548531,0.1697
Guyana,118,4787637005.53638,2.462,95.1,109.6104408,179.89072611,NA,262031,1.819
Haiti,359,16403864521.4121,2.959,NA,29.11010667,7.56501107,NA,3465677,0.2343
